reward,difficulty,duration,offer_type,offer_id,email,mobile,social,web,ticks,bogo,discount,informational
10,10,168,bogo,ae264e3637204a6fb9bb56bc8210ddfd,1,1,1,0,bogo_10_10_7,1,0,0
10,10,120,bogo,4d5c57ea9a6940dd891ad53e9dbe8da0,1,1,1,1,bogo_10_10_5,1,0,0
0,0,96,informational,3f207df678b143eea3cee63160fa8bed,1,1,0,1,informational_0_0_4,0,0,1
5,5,168,bogo,9b98b8c7a33c4b65b9aebfe6a799e6d9,1,1,0,1,bogo_5_5_7,1,0,0
5,20,240,discount,0b1e1539f2cc45b7b9fa7c272da2e1d7,1,0,0,1,discount_5_20_10,0,1,0
3,7,168,discount,2298d6c36e964ae4a3e7e9706d1fb8c2,1,1,1,1,discount_3_7_7,0,1,0
2,10,240,discount,fafdcd668e3743c1bb461111dcafc2a4,1,1,1,1,discount_2_10_10,0,1,0
0,0,72,informational,5a8bc65990b245e5a138643cd4eb9837,1,1,1,0,informational_0_0_3,0,0,1
5,5,120,bogo,f19421c1d4aa40978ebb69ca19b0e20d,1,1,1,1,bogo_5_5_5,1,0,0
2,10,168,discount,2906b810c7d4411798c6938adc9daaa5,1,1,0,1,discount_2_10_7,0,1,0
